Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,17095,8880,10,49130.648438,0.000204
2,1000,0.4,0.2,50.0,1000,2519,1509,10,49972.882812,0.000200
3,1000,0.4,0.2,50.0,1000,14672,8715,10,49272.000000,0.000203
4,1000,0.4,0.2,50.0,1000,2539,1544,10,50269.136719,0.000199
5,1000,0.4,0.2,50.0,1000,22499,9127,10,50216.906250,0.000199
6,1000,0.4,0.2,50.0,1000,2519,1528,10,49831.625000,0.000201
7,1000,0.4,0.2,50.0,1000,22339,9045,10,49859.871094,0.000201
8,1000,0.4,0.2,50.0,1000,14660,8750,10,49187.636719,0.000203
9,1000,0.4,0.2,50.0,1000,7607,4552,10,50930.996094,0.000196
10,1000,0.4,0.2,50.0,1000,17574,9098,10,50477.960938,0.000198
