Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2525,2278,10,50236.496094,0.000199
2,1000,0.1,0.2,50.0,1000,2506,2252,10,49772.882812,0.000201
3,1000,0.1,0.2,50.0,1000,2502,2265,10,49779.574219,0.000201
4,1000,0.1,0.2,50.0,1000,2574,2326,10,51189.136719,0.000195
5,1000,0.1,0.2,50.0,1000,2562,2306,10,50901.292969,0.000196
6,1000,0.1,0.2,50.0,1000,2517,2276,10,50071.625000,0.000200
7,1000,0.1,0.2,50.0,1000,2505,2245,10,49760.039062,0.000201
8,1000,0.1,0.2,50.0,1000,2597,2316,10,51588.015625,0.000194
9,1000,0.1,0.2,50.0,1000,2474,2212,10,49144.296875,0.000203
10,1000,0.1,0.2,50.0,1000,2535,2293,10,50353.531250,0.000199
