Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,22696,9107,10,50736.496094,0.000197
2,1000,0.6,0.2,50.0,1000,22469,8940,10,50112.882812,0.000200
3,1000,0.6,0.2,50.0,1000,20151,7980,10,50707.468750,0.000197
4,1000,0.6,0.2,50.0,1000,17352,7001,10,49817.437500,0.000201
5,1000,0.6,0.2,50.0,1000,9693,3879,10,48621.292969,0.000206
6,1000,0.6,0.2,50.0,1000,2534,1021,10,49598.867188,0.000202
7,1000,0.6,0.2,50.0,1000,9785,3887,10,49217.636719,0.000203
8,1000,0.6,0.2,50.0,1000,12441,4975,10,49988.015625,0.000200
9,1000,0.6,0.2,50.0,1000,2467,931,10,48689.667969,0.000205
10,1000,0.6,0.2,50.0,1000,14971,6041,10,50113.531250,0.000200
