Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,7012,6348,7,49754.113281,0.000141
2,1000,0.1,0.2,50.0,1000,7135,6464,1,48959.660156,0.000020
3,1000,0.1,0.2,50.0,1000,6955,6287,3,49865.640625,0.000060
4,1000,0.1,0.2,50.0,1000,7026,6297,5,48662.507812,0.000103
5,1000,0.1,0.2,50.0,1000,7227,6519,1,50417.726562,0.000020
6,1000,0.1,0.2,50.0,1000,7041,6410,2,48755.371094,0.000041
7,1000,0.1,0.2,50.0,1000,6977,6270,7,50757.050781,0.000138
8,1000,0.1,0.2,50.0,1000,7318,6584,1,50727.890625,0.000020
9,1000,0.1,0.2,50.0,1000,6791,6080,2,49429.562500,0.000040
10,1000,0.1,0.2,50.0,1000,6895,6198,3,48801.878906,0.000061
